PD	SR	SampleID	X.SampleID
16.408036529680363	327	SRR6267739	SRR6267739
15.052420091324201	202	SRR6267740	SRR6267740
15.080000000000002	231	SRR6267741	SRR6267741
14.950228310502284	229	SRR6267742	SRR6267742
14.47881278538813	188	SRR6267743	SRR6267743
13.756164383561645	160	SRR6267744	SRR6267744
12.516073059360732	135	SRR6267745	SRR6267745
15.478995433789954	217	SRR6267746	SRR6267746
13.935616438356165	201	SRR6267747	SRR6267747
14.80420091324201	223	SRR6267748	SRR6267748
14.742374429223746	166	SRR6267749	SRR6267749
16.087671232876712	279	SRR6267750	SRR6267750
13.763561643835617	144	SRR6267751	SRR6267751
11.485662100456622	84	SRR6267752	SRR6267752
14.873881278538814	183	SRR6267753	SRR6267753
15.60502283105023	241	SRR6267754	SRR6267754
15.775525114155252	232	SRR6267755	SRR6267755
15.79296803652968	168	SRR6267756	SRR6267756
12.674703196347034	150	SRR6267757	SRR6267757
15.235707762557078	190	SRR6267758	SRR6267758
16.127762557077624	324	SRR6267759	SRR6267759
14.602191780821919	171	SRR6267760	SRR6267760
13.33799086757991	154	SRR6267761	SRR6267761
15.725022831050229	212	SRR6267762	SRR6267762
15.247397260273974	225	SRR6267763	SRR6267763
14.511324200913243	148	SRR6267764	SRR6267764
13.51771689497717	165	SRR6267765	SRR6267765
14.831506849315069	252	SRR6267766	SRR6267766
14.308219178082194	169	SRR6267767	SRR6267767
15.578447488584477	290	SRR6267768	SRR6267768
14.403196347031965	191	SRR6267769	SRR6267769
15.055707762557079	241	SRR6267770	SRR6267770
15.08109589041096	198	SRR6267771	SRR6267771
15.673698630136988	249	SRR6267772	SRR6267772
15.02840182648402	200	SRR6267773	SRR6267773
14.150593607305938	170	SRR6267774	SRR6267774
15.239634703196348	227	SRR6267775	SRR6267775
13.29150684931507	128	SRR6267776	SRR6267776
16.367214611872146	328	SRR6267777	SRR6267777
16.521095890410958	332	SRR6267778	SRR6267778
15.343926940639271	241	SRR6267779	SRR6267779
12.299452054794521	107	SRR6267780	SRR6267780
